City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint George,40,GR,1544282400,66,39.45,22.34,9.0,1.0
Muroto,32,JP,1544284399,100,33.37,134.14,4.68,4.66
Albany,75,US,1544281080,56,42.65,-73.75,-6.0,1.5
Kaputa,36,ZM,1544284469,85,-8.47,29.66,23.18,2.11
Luderitz,0,NA,1544284380,75,-26.65,15.16,17.68,8.61
Punta Arenas,75,CL,1544281200,62,-53.16,-70.91,11.0,11.3
Taoudenni,0,ML,1544284470,21,22.68,-3.98,26.65,6.26
Veraval,90,FR,1544283000,93,49.65,0.71,11.0,8.7
Bethel,20,US,1544280960,91,60.79,-161.76,-8.3,4.6
Qaqortoq,20,GL,1544284470,91,60.72,-46.03,-2.65,2.41
Cape Town,40,ZA,1544281200,53,-33.93,18.42,22.0,6.2
Hermanus,88,ZA,1544284361,77,-34.42,19.24,16.58,1.66
Busselton,0,AU,1544284350,100,-33.64,115.35,16.68,8.86
Khatanga,68,RU,1544284386,76,71.98,102.47,-21.6,1.51
Thompson,75,CA,1544281200,84,55.74,-97.86,-16.0,3.1
Esperance,40,TT,1544281200,58,10.24,-61.45,30.0,6.7
Cayenne,75,GF,1544283000,70,4.94,-52.33,29.0,5.7
Port Lincoln,12,AU,1544284420,96,-34.72,135.86,16.5,6.11
Norrtalje,75,SE,1544282400,93,59.76,18.7,5.0,5.1
Ponta do Sol,32,BR,1544284371,89,-20.63,-46.0,23.55,2.51
Nikolskoye,75,RU,1544283000,74,59.7,30.79,-1.0,11.0
Hobart,75,AU,1544283000,82,-42.88,147.33,14.0,2.6
Clyde River,20,CA,1544281200,56,70.47,-68.59,-26.0,3.6
Butaritari,100,KI,1544284414,100,3.07,172.79,29.45,3.36
Albury,80,AU,1544281200,44,-36.08,146.92,26.0,1.66
Dinguiraye,0,GN,1544284472,27,11.29,-10.71,33.1,3.01
Tasiilaq,5,GL,1544280600,53,65.61,-37.64,-6.0,2.6
Georgetown,75,GY,1544281200,74,6.8,-58.16,30.0,6.2
Upernavik,64,GL,1544284356,100,72.79,-56.15,-13.6,2.41
Carnarvon,0,ZA,1544284381,12,-30.97,22.13,22.83,4.51
Les Cayes,0,HT,1544284473,94,18.19,-73.75,28.33,5.01
Mataura,88,NZ,1544284361,65,-46.19,168.86,17.0,6.71
Ust-Kuyga,24,RU,1544284473,89,70.0,135.55,-40.4,1.41
Atuona,88,PF,1544284355,100,-9.8,-139.03,26.9,8.16
Traralgon,68,AU,1544284474,85,-38.19,146.54,17.7,1.21
Rikitea,92,PF,1544284355,100,-23.12,-134.97,23.85,5.91
Bluff,92,AU,1544284370,61,-23.58,149.07,22.83,7.21
Severo-Kurilsk,88,RU,1544284354,100,50.68,156.12,-1.35,4.66
Lagoa,0,PT,1544281200,56,37.14,-8.45,20.0,3.6
Sile,75,US,1544284020,93,35.56,-106.37,2.2,2.6
Hilo,90,US,1544280780,81,19.71,-155.08,22.2,3.1
Barrow,0,AR,1544284444,46,-38.31,-60.23,27.45,8.31
De Aar,0,ZA,1544284476,10,-30.65,24.01,26.05,5.91
Pevek,76,RU,1544284363,100,69.7,170.27,-17.18,5.46
Andros Town,75,BS,1544281200,69,24.73,-77.79,26.0,5.1
Katsuura,75,JP,1544282520,48,33.93,134.5,5.0,8.7
Micheweni,8,TZ,1544284476,100,-4.97,39.83,28.55,3.66
Ewa Beach,90,US,1544282520,92,21.32,-158.01,23.3,1.5
Kavieng,48,PG,1544284412,100,-2.57,150.8,29.75,2.86
Lebu,0,ET,1544284407,36,8.96,38.73,19.05,3.81
Dikson,80,RU,1544284477,100,73.51,80.55,-11.28,13.01
Kapaa,90,US,1544280960,73,22.08,-159.32,22.2,10.3
Sao Joao da Barra,75,BR,1544281200,73,-21.64,-41.05,23.0,7.7
Ushuaia,75,AR,1544281200,43,-54.81,-68.31,11.0,9.3
Santa Isabel do Rio Negro,48,BR,1544284478,88,-0.41,-65.02,27.5,1.06
Muros,75,ES,1544283000,87,42.77,-9.06,11.0,3.6
Otautau,80,NZ,1544284478,65,-46.14,168.0,17.5,6.71
Lata,0,IN,1544284478,96,30.78,78.62,0.7,1.06
Sur,24,OM,1544284479,93,22.57,59.53,25.7,2.76
Saint-Philippe,1,CA,1544283300,73,45.36,-73.48,-12.2,1.5
Talcahuano,75,CL,1544281200,68,-36.72,-73.12,18.0,7.7
Shingu,20,JP,1544284432,100,33.72,135.99,8.55,8.81
Yellowknife,75,CA,1544281200,92,62.45,-114.38,-13.0,5.1
Smithers,75,CA,1544281200,73,54.78,-127.17,-6.0,2.6
Hami,8,CN,1544284353,47,42.84,93.51,-19.5,2.01
Ucluelet,90,CA,1544281200,93,48.94,-125.55,7.0,2.1
Sao Filipe,0,CV,1544284480,90,14.9,-24.5,25.1,5.71
Hithadhoo,92,MV,1544284069,99,-0.6,73.08,28.85,4.66
Vaini,12,IN,1544284385,85,15.34,74.49,23.18,0.41
Ponta Delgada,0,PT,1544281200,49,37.73,-25.67,21.0,4.1
Pierre,1,US,1544280780,87,44.37,-100.35,-8.3,4.6
Matagami,0,NG,1544284481,43,9.67,8.4,29.43,1.76
Norman Wells,75,CA,1544281200,84,65.28,-126.83,-13.0,1.0
Tuktoyaktuk,90,CA,1544281200,84,69.44,-133.03,-13.0,7.2
Cidreira,0,BR,1544284366,80,-30.17,-50.22,21.9,2.06
Bredasdorp,0,ZA,1544281200,49,-34.53,20.04,22.0,5.1
Qaanaaq,44,GL,1544284397,100,77.48,-69.36,-18.78,4.66
Nanortalik,36,GL,1544284407,90,60.14,-45.24,-2.6,3.16
Haines Junction,44,CA,1544284308,76,60.75,-137.51,-0.7,5.11
Luena,8,AO,1544284482,82,-11.78,19.91,24.95,2.01
Mogadishu,36,SO,1544284225,99,2.04,45.34,27.4,6.71
Yaan,0,NG,1544284482,33,7.38,8.57,35.83,1.66
Santiago de Cao,90,PE,1544281200,88,-7.96,-79.24,20.0,4.1
Petropavlovsk-Kamchatskiy,32,RU,1544281200,66,53.05,158.65,-12.0,1.0
Broome,75,GB,1544282400,87,52.47,1.45,10.0,8.2
Ancud,90,CL,1544281200,82,-41.87,-73.83,14.0,6.7
Nautla,0,MX,1544284483,100,20.22,-96.78,24.05,3.41
Saldanha,8,PT,1544284484,78,41.42,-6.55,10.73,1.96
East London,20,ZA,1544281200,77,-33.02,27.91,20.0,6.7
Gao,0,ML,1544284484,19,16.28,-0.04,31.15,5.21
Port Alfred,32,ZA,1544284363,87,-33.59,26.89,20.6,5.86
Lavrentiya,80,RU,1544284386,100,65.58,-170.99,-4.45,13.56
Komsomolskiy,68,RU,1544284485,86,67.55,63.78,-8.55,4.21
Kalmunai,92,LK,1544284485,100,7.42,81.82,23.68,2.76
Lancaster,75,US,1544282100,66,40.04,-76.31,0.6,2.1
Avarua,75,CK,1544281200,83,-21.21,-159.78,26.0,3.6
Dunedin,68,NZ,1544284222,75,-45.87,170.5,15.18,1.31
Hirara,92,JP,1544284467,100,24.8,125.28,22.33,11.96
Saint-Pierre,90,FR,1544283000,100,48.95,4.24,10.0,10.3
Thornbury,90,GB,1544282400,100,51.61,-2.53,12.0,12.3
Mar del Plata,48,AR,1544284352,27,-46.43,-67.52,29.55,7.81
Anadyr,0,RU,1544281200,75,64.73,177.51,-25.0,8.0
Misratah,12,LY,1544284487,82,32.38,15.09,19.55,4.31
Tres Arroyos,0,AR,1544284487,46,-38.38,-60.28,27.45,8.31
Torbay,90,CA,1544281200,86,47.66,-52.73,-3.0,2.1
Chokurdakh,36,RU,1544284401,62,70.62,147.9,-36.53,1.46
Blois,90,FR,1544283000,93,47.59,1.33,11.0,6.7
Ilulissat,75,GL,1544280600,78,69.22,-51.1,-12.0,1.5
Erenhot,0,CN,1544284418,62,43.65,111.97,-23.1,4.81
Lakhipur,0,IN,1544284488,86,26.03,90.3,14.35,0.51
New Norfolk,75,AU,1544283000,82,-42.78,147.06,14.0,2.6
Puerto Ayora,20,EC,1544281200,61,-0.74,-90.35,26.0,7.2
Mossendjo,92,CG,1544284488,88,-2.95,12.72,23.9,1.36
Rawson,0,AR,1544284378,21,-43.3,-65.11,35.15,6.06
Willmar,90,US,1544283300,92,45.12,-95.04,-8.0,1.5
Vrede,64,ZA,1544284489,82,-27.43,29.16,17.48,1.86
Vila Velha,75,BR,1544281200,66,-3.71,-38.6,30.0,5.1
Maceio,40,BR,1544281200,46,-9.67,-35.74,33.0,5.1
Pacific Grove,1,US,1544282100,92,36.62,-121.92,7.8,1.86
Mwinilunga,24,ZM,1544284490,71,-11.73,24.43,25.35,1.31
Antsohihy,0,MG,1544284490,69,-14.88,47.99,29.15,4.01
Te Anau,92,NZ,1544284351,73,-45.41,167.72,12.8,3.86
Constitucion,20,MX,1544280000,67,23.99,-104.67,14.0,2.6
Coro,32,VE,1544284490,72,11.41,-69.67,28.08,4.66
Colac,88,AU,1544284490,83,-38.34,143.59,16.23,1.31
Quatre Cocos,40,MU,1544281200,74,-20.21,57.76,27.0,2.6
Castro,90,CL,1544281200,82,-42.48,-73.76,14.0,6.7
Bikaner,0,IN,1544284491,54,28.02,73.32,13.98,1.26
Ribeira Grande,75,PT,1544281200,82,38.52,-28.7,18.0,3.6
Makarov,36,RU,1544284491,100,48.62,142.78,-14.58,4.46
Hervey Bay,90,AU,1544281200,88,-25.3,152.85,21.0,4.1
Herat,40,AF,1544280900,50,34.35,62.22,12.0,1.26
Coihaique,40,CL,1544281200,46,-45.58,-72.07,22.0,4.1
Veracruz,40,VE,1544281200,83,7.66,-72.25,25.0,2.6
Kodiak,1,US,1544283300,45,39.95,-94.76,-3.0,5.7
Tongren,92,CN,1544284418,94,27.72,109.18,-2.78,3.56
Vila Franca do Campo,0,PT,1544281200,49,37.72,-25.43,21.0,4.1
Poum,90,MK,1544279400,75,41.28,20.71,6.0,1.5
Veselynove,75,UA,1544281200,94,47.36,31.24,3.0,6.0
Fayaoue,12,NC,1544284493,100,-20.65,166.53,25.5,12.26
Kupang,40,ID,1544281200,94,-10.16,123.6,27.0,1.0
Cabo San Lucas,5,MX,1544280420,77,22.89,-109.91,19.0,5.61
Eureka,75,US,1544283300,87,40.8,-124.16,12.2,7.7
Ahipara,0,NZ,1544284494,100,-35.17,173.16,11.93,3.76
Codrington,80,AU,1544281200,82,-28.95,153.24,21.0,2.1
Tarakan,44,ID,1544284366,97,3.3,117.63,27.83,0.86
Chumikan,56,RU,1544284495,69,54.72,135.31,-20.6,5.11
Langenburg,0,CA,1544284495,38,50.84,-101.7,-24.75,1.86
Verkhnyaya Toyma,56,RU,1544284416,78,62.24,45.0,-7.33,2.81
Jacareacanga,76,BR,1544284369,88,-6.22,-57.76,26.65,1.16
Tondano,40,ID,1544283000,94,1.3,124.91,25.0,1.0
Hailar,0,CN,1544284496,36,49.2,119.7,-31.83,1.41
Isangel,36,VU,1544284496,100,-19.55,169.27,25.45,11.36
Santa Marinella,0,IT,1544282400,51,42.04,11.87,16.0,6.7
Killam,0,CA,1544284497,43,52.79,-111.86,-22.0,1.31
Wanaka,68,NZ,1544284497,63,-44.7,169.14,11.68,1.16
Geraldton,20,CA,1544281200,78,49.72,-86.95,-12.0,2.6
Tiksi,8,RU,1544284405,81,71.64,128.87,-39.4,1.31
Tuatapere,88,NZ,1544284498,80,-46.13,167.69,16.2,7.51
Rossland,80,CA,1544284498,85,49.08,-117.8,-12.35,0.81
